id,name,symbol,description,keywords
1,Sun,,Energy of self expression and how we create,creates
2,Moon,,Energy of reflection and how we react,reacts
3,Mercury,,Energy of intelligence and how we think,thinks
4,Venus,,Energy of pleasure and how we love,loves
5,Mars,,Energy of force and how we act,acts
6,Jupiter,,Energy of generosity and how we expand,expands
7,Saturn,,Energy of structure and how we control,controls
8,Uranus,,energy of awakeaning and sudden change and how we invent,invents
9,Neptune,,energy of the mysterious and how we inspire,inspires
10,Pluto,,energy of death and rebirth and how we transform,transforms
11,Chiron,,,
